_id,Series_reference,Period,Data_value,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Suppressed
647f327c1dce3c155c92f570,BDCQ.SEA1AA,2011.06,80078,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f571,BDCQ.SEA1AA,2011.09,78324,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f572,BDCQ.SEA1AA,2011.12,85850,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f573,BDCQ.SEA1AA,2012.03,90743,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f574,BDCQ.SEA1AA,2012.06,81780,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f575,BDCQ.SEA1AA,2012.09,79261,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f576,BDCQ.SEA1AA,2012.12,87793,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f577,BDCQ.SEA1AA,2013.03,91571,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f578,BDCQ.SEA1AA,2013.06,81687,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f579,BDCQ.SEA1AA,2013.09,81471,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f57a,BDCQ.SEA1AA,2013.12,93950,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f57b,BDCQ.SEA1AA,2014.03,97208,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f57c,BDCQ.SEA1AA,2014.06,85879,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f57d,BDCQ.SEA1AA,2014.09,84447,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f57e,BDCQ.SEA1AA,2014.12,95075,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
